tweet,label
Im buzzin and scared ,negative
@Miki_is_Rad haha i havnt seen em at all ,negative
"@jrobichess thanks - I can't afford the HTC at all, though ",positive
bruised and battered after Miriam's going away party - going to miss you Mir ,negative
"@DanielJKelly Unfortunately, we didn't get a chance to make it to any events. @clhunter68 was sick the whole time. ",negative
Trying to figure how to set up an eBay account ,negative
Just woke up....PARIS was AWESOME and we went to euro disney! it was so much fun but now im freakin' tired and i gotta work later ,negative
I wanna play guitar or bass in a band  i miss being in a band,negative
@TinaSimpson not sure if you were singing the song but you got it completely wrong. LOL. The stars at night are big and bright. ,positive
Hudson Selenium Grid Plugin: http://bit.ly/UybPR  Seems almost too easy ,positive
@petewentz pls tell me u guys will make a new album i am sitting in my room cryin my eyes out if u r done i hav nothin to livr for ,negative
im updating on an imac at partridge.  ,positive
@mommypalooza Thanks so much! I think these are usually card specific though. Bummer because they never send them to me anymore. ,negative
"@Rawrrgasmic Feast! No Fab! No mint Feast! Shit, I need the pictures  Actually it's freezing I don't want ice cream.",negative
morning sunday  ? http://blip.fm/~7db95,positive
got done watching Greek. off to sleep now. goodnite! ,positive
"@ravenize11 seats sound beautiful, do you sell the games you can't get to? and if you can send me that article it would be great. thnx ",positive
i had 11 hours of work and i'm really tired but i just don't want to go to sleep ,negative
camping was a massive failure. mitch forgot a sleeping bag. it rained. no tent. ran out of petrol on the way home. then a flat battery. ,negative
@Lemonpi PH and I are having a macaron smackdown...except he is not aware of it...It's all being played out in my head ,positive
@jerri53 has the #storm hit your place ...updates if you can please ,positive
@mileycyrus Im praying for you!  that you win at  the MTV Awrds tomorrow! LOVE YOU SOO MUCH! im voting all night  you deserve it!,positive
hates this stupid dissertation and can't do it until she has access to a printer...GAH   http://tinyurl.com/rdunlm,negative
@LilyPup @laineyspawtique sometimes I have to pause it to keep up. ,positive
@MzNatalia31 ::Fakingly::Oh... hi. ,positive
"Cheerleaders for local HS held car wash. Lame. Parents, brothers, and awkward sisters did most of the work. ",negative
http://twitpic.com/66roi - Man I miss this truck so much!  had to return it cause it was 687.00 a month and 236.00 ins a month on it : ...,negative
Work till 9pm  Movies after though  YEAR ONE AHAH,negative
@paperboyfabe 88 to 88 .6seconds left  Magic ball :lol I know I'm late,positive
"A sweltering afternoon no wonder the creepy, slithering snakes are heading to the creek. The nasty things can swim! Frightening detail! ",negative
Oh my gosh. Whole body hurts..  ,negative
Ok this stinks MTV awards don't come on for another 2 hrs here ,negative
"@alanreimer i know, but poor pidgy. hope he doesn't die on my windowsill ",negative
"@KasiaStrz saw a shirt yesterday at the mall that reminded me of you.. &quot;Not only am I perfect.. I'm Polish!&quot; haha. have fun, girl ",positive
Packing up. ,negative
hubby is going to get me tacos ,positive
"@csdanforth yes, a short hike might be what the doctor ordered.  Right after I finish reading a few passages ",positive
"in the Hibiya room, not the park... ",negative
My first OPI: DS Desire. Preparing to try it now ,positive
@cokeman777 Possibly but I doubt it.  She's a survivor!!   ,positive
I got the Sims 3 today. It's my &quot;end of exams&quot; present! haha. It's just loading now ,positive
FOLLOW ME!!  PLease!!!! D-Day Jay-Z #robotpickuplines Death of Autotune Tetris Goodnight Hangover Conan #jessicaveronica Palm Pre,positive
"I'm so sleepy now. Either ways, I'm gonna' have fun tonight! ",positive
@Expedia is now following @Cleartrip ,positive
@squarespace Lucky  I give up,negative
"@colinsteers Aw man, way to bring the bad things back... ",negative
got disappoint with the g'air! ,negative
countdown: 8 days to go!!  and im all set!,positive
@collective_soul I LOVE LOVE LOVE you guys~~But I really don't care who is entering your blog contest  I'm feeling a little spammed! lol,negative
#iremember when i didn't have to pay bills..uumm wait no I don't ,negative
Thank you for neww follower ,positive
@songzyuuup Yuse a funny dude!! ,positive
no ZG on MWC again? ,negative
@RavenStarre Because the truth of who someone is will always shows up when they are given the freedom to develop it. ,positive
I think I am becoming a snob  I totally pretended I didn't recoginise an old school friend on the bus because she is a down and out ,negative
I am computer-less for a day or two. Sad. ,negative
@DjUniq hahahaha now its commercials ,negative
@officialnjonas  for now it's paranoid...just becuz i've heard the whole song...but i'm sure i &lt;3 all the rest as well!  JUNE 16TH!!!!!!,positive
"@brookebanx http://twitpic.com/7ktbm - Gorgeous girl! How did you make it, you are living my dream! ",negative
@NeilAdam ni idea ;) but i dont fill the criteria of under 35  #hhl09,negative
in memory  ? http://blip.fm/~5epvi,negative
"@writethevision Hey A! Can rel8 2 the 'work &amp; play'  My yahoo crashed, but group seems futile, no? No need 2 answer - rhetorical. ",positive
@unclecj There was a small bug...sorry ,negative
oh shit THE HANGOVER tonight fo sheezy my neezy ,positive
"@cultvines Ohhhh, I am sorry I missed all of the fun but working in FL isn't too bad either.  Orlando and most of the west coast of FL  ",positive
KYLE'S COMING OVERRRR ,positive
Is both happy and sad at the increase in bit rate of spotify. Happy because it sounds good sad because he cant browse the web at work ,negative
@mcunclebuck  how sad! i hope u feel better!,negative
"Oops. Ran late, broke a date with the boy and got left behind. No day trip this weekend to the beach after all ",negative
@Cadistra Did you like the topic? ,positive
"@unitechy of course!!! we love you as much as you love us, if not more  #yaymen",positive
"@Zappos_Service yeah , you should, i could not find my size in stock anywhere ",negative
@mikaylamendez I never tried that ,negative
"@sticklebricks Oh, I tried out the COUGH, and it was way painful.  ",negative
had to buy a pack. ,negative
@michaelmcdowell Awww that sad  But earth thanks you for trying ;),negative
"@PinkTrees: hehe oh bless him .. i'm going to go on in the next couple of hours after we have our dinner, if you want to play again? ",positive
So sick of closing cases   Not what I want to be doing...my chicken kabob pita stuffer tasted delicious however!!,negative
@VivaLaAthena just dip the pandesal in raw-men ,positive
@connerthecat me too ,negative
@raehippychick don't tell big G! (ï¿½32 ouch! Cool as f**k though  ) http://yfrog.com/5fdlmkj,positive
The voice of Mickey Mouse passed way. Condolence. And thank you for the great job he did ,positive
@savagestar Hello!  Again ,positive
"to do list : continue packing, put on nailpolish, sleepover at Mik's. BORACAY tmrw. YAY beach ",positive
I can't believe that the people of yorkshire and humberside have voted in BNP MEP.This is a shameful day for the counties.  ,negative
"Forced creative writing is hard, slow, and very painful. Even detailed lesson plans are easier. ",negative
"@JMacOnline Jesse, pls. make this clear for me. I really really don't like posers.. ",negative
"nah. twitter clients suck, one or the other way.  eating up APIs and shit. why cant we get a good twitter software!",negative
@UmEEE i wanted Nadal to win...he's my favourite...bat sadly he got out of the tournament ,negative
Nice. Another D-bag is smoking near me. Why dont they just move the fuck away? Ashes are blowing at me in the wind. I cant move anywhere ,negative
@McflyMadEmma Little Louisa is number 3 trying to get number one!  XX,positive
@NicoleJensen did you end up going to hellfire? ,positive
@windysmeets long story  I can't graduate this yearr http://myloc.me/5Cfl,negative
I feel misunderstood by the person who I care about the most...this sucks ,negative
#MCRrecordsalbum I'm gonna eat desert now later skaters. ,positive
@JordanKnight Tonight when you arrived @ Hard Rock you were only 5 feet away from me and I didn't get 2 hug u or take a pic w/u ,negative
@MultiAxisMatt Thank you for the honor of follow friday! ,positive
@maudelicious take picture of the 3 of you and upload it here.....common...share with us! ,positive
Up drinking coffee i have work at 7 in the morning ,negative
@se7yourselffree Hey there lady! You seem down  cheer up! I'd by you a shot to take the edge off if I could but I live in NC!,negative
No running today  awful weather it's windy and rained 6 times in the last 30 min #Dublin,negative
@DJLaser u were talkin bout Jay z on the trend ,positive
It's a manic monday ,negative
Check out the official FuseBox Radio Broadcast's Blip.FM Station at http://Blip.FM/FuseBoxRadio - thanks!  #blackradio #music,positive
@jasecoop Hypershot is cool eh! ,positive
@xjolien i should be studying for my advertising exam but instead i was watching a movie. yay. im screwed ,negative
@JenJan noooooooo! my old palm could twitter. just the camera sucked! unless i was in pure light nothin was coming out ,negative
spending some time with the little guy... ,positive
New post up: http://mloves.typepad.com/melissa-loves/ T &amp; T with Nicole from Astulabee ,positive
#musicmonday  Sunrise by Norah Jones â« ,positive
To which this brat chimes quickly...&quot;Tell me about it!&quot;  this new baby better be nicer to its mama...cuz this is why ppl smother their ...,negative
"@PixiePolaroid lol Ooops! What did you do?? Nope sorry, it's only Wednesday ",negative
@dwarfland you did not fix the 'designer breaks when report viewer component is dropped on form' issue? Uh. not good... ,negative
Twittering for the first time ,positive
"@MYIDOLTOWN I'll buy the cd for sure, but yeah, that Adam bias is showing still from AI. ",negative
"@SureSister When I went through rush, I called myself a &quot;rushling.&quot; That may not be entirely PC, though. ",positive
Iran's situation is getting worse and worse while I was sleeping soundly in my bed...It's just not right.  http://plurk.com/p/12k1zo,negative
@SimonHar that wasn't directed at you. i love you. ,positive
@matripley Dont tell anyone but I am secretly addicted to Ninja Kiwi as well. Shush ,positive
@rajean just got my cello tuned and such! So I'm just getting going so watch for more posts.   I'm excited!,positive
@Makinov  the weather is good here too and i am off to work also,negative
"Studying for final exams, wish me luck ",positive
Wish someone would send me a nice boobs pic to lighten up my Saturday ,negative
Wishing we had a lighter tone at work sometimes.   ,negative
"11th-Gradute Show, 13th-Thope park, 15th-Jonas Brothers concert, 16th-Kings of Leon concert!!! Going to be June crazyness I can't wait! ",positive
"Broken TPMS valve stem FTL... BIG TIME  Rays valve caps siezed to valve stem, go snap. Oh well, time for new tires anyway.",negative
Is looking forward to most likely having a near heart attack later watching the United game. Le'ts beat the scousers ,positive
"@waldorph It was only a hyphen and now it actually redirects to the correct car page. Damnit, I was trying to avoid saying what I edited ",positive
Thank god I'm out of work. Spencer's kills my soul a little more each shift ,negative
Gotta get ready for work ,negative
i don't like talking on reemer's blogtv page. i'm the youngest on there  LMFAO.,negative
@EveKiller The Jonas Brothers  perhaps you dont like them.. but I love them &lt;3 what's about u? i miss your naked moments  lol,negative
Just ate my sausage and eggs so im happy... Waiting till 12 when my little bros game starts... I love to watch them play ,positive
"Allergies or a cold, either way I'm feeling crummy. ",negative
big grocery shopping with my mum ,positive
@Miladrag Your one adoroable girl  cant wait till sat!,positive
finished school for the rest of my life. summer has now started ,positive
i have the will to stay up  and im most def proud... haha,positive
Still recovering from my surgery. Ughh. Meghan cane over and watched some movies with me to cheer me up. Thanx! Oh and I feel like shit! ,negative
I miss you dad ,negative
Software update beachballed my MacBook... It's hosed.  iPhone is acting up as well. Bad day for my Mac things.,negative
raqu3l_wond3r_OMGI want travis to call me so bad lmao  ...Im inlove with a singer lolz ,positive
next day air was pretty good ,positive
@tuoni Good to have you back among the tweeting. Hope you are fully recovered w no nasty after effects. 2 wks is a long time to be hosp ,negative
5 mosquitobites on mt right arm  itches like crazy,negative
..dat dude look crazy w/ dat hair on his face lmao ..stop it!! ..the old wrestlers went to TNA  thanks Vince ..these dudes are clowns lol,negative
just got back on got an aquariummm!  i want fishiesss ,positive
wife and younger daughter are off on a camping trip to go white-water rafting in PA this weekend. Bet they'll have a blast. ,positive
"@Jonasbrothers nickj, what about miley? HUUUUUUUUH ? ",negative
i can't open baby v's pic!!! ,negative
feels like such an old lady sometimes. I miss being young and having fun. ,negative
get to go to the dentist ,negative
@Sam4God aww thanks &amp;woohoo only 11 more days till you can tweet the same thing  &amp;usually it takes me a while bt i just luv BB this year!,positive
@michaelsheen Send pictures! Of ceremony as well as outing (if any).  I'm sure Hello!- magazine will be most interested in both ,positive
is so ill ,negative
@chemicalzombie depends what ur in the mood to listen to ,positive
My cake looks like I graduated from UF ,negative
Oh my Goodness!!!!! Twilight cleaned up at the MTV Movie awards!!!!! Lame! I wouldn't say it was as good as the books by far!! ,positive
@The_Real_Karen Hate it!  @Amy_Maureen i just have my french fries in office. cute guy gave it to me lol!,negative
@Pixicns  you could always come back and hang with Ric and Angelo,negative
YES! My new song is coming along well.  ... Sweet!,positive
@tigerwhispers  i hope they stop the screaming and fighting...,negative
@gegere How's #gbtu? Are you say those are supplies you still need? Or Needed to get ... ???? ,positive
@SagaciousB So sorry  I lost a coworker to a drunk driving accident a month ago. It's never easy.,negative
im here really looking forward to summer but need to find that special someone to make this summer a complete one ,negative
Soo first night at the new place. With nothinng there. ,negative
These kids are so funny. I hate having to tell them to stop ,negative
@brianna7x i wish i could ,negative
Star Trek with Gracie tonight ,positive
@jondickinson The only solution appears to be to tell Win7 not to monitor AV status in the Action Center or tell WHS to ignore the issue. ,negative
been in the hospital all day with my grandpa  things aren't looking good...,negative
@SNWPaul Okay! Good idea  Don't think Lee will be present but we can talk about important stuff  @tszcheetah will have an exam though!,positive
@dangennoe - They look brilliant! Thanks for the pictures ,positive
No 3g or other Internet access except wireless anywhere this morning ,negative
just got home from work. im soaked from the rain ,negative
Guys the girls of Cartertwins.org are amazing!! thanks so much for helping us out  Listening to Carter Twins Heart Like Memphis =D,positive
God Damned movies. 'the happy ending is you'  Fucking movie. ,negative
"@aliciiajones_jk idk,gustavo said he was going to ask him,but i had to go off line when he was going to tell me.. ",negative
&lt;333 Maroon 5 &quot;Secret&quot;  heehee Wedding Date scene's got me TRIPPIN! SLIPPIN! TRRRIPPIN! oh how lovelyyy.,positive
Chinese Buffet withh @offiallyannie and our familyyy ,positive
"Plaid shirt, dog tag, curly hair. i think im nick jonas for the day ",positive
"@scotsmanstuart well....you should be home now!  woot!! i'm still sick...can't seem to shake it, but hanging in here!! ",positive
Damn. Trains crashing. Glad the only time I caught it was to get to school. RIP to the one who died. That's cuhrazyy. ,negative
"ugh, another science exam tomorrow ",negative
"going out with my best friend tonight, she drove 7 hours to get here! celebrating my belated b-day.  can't wait!",positive
@NaughtySparkle I have all but the seamed stockings. ,negative
"I napped for a little too long, poo ",negative
Enjoying the freedom without a boss today ,positive
"@Martina_Nicole aah, i would love to but im uptown today  how about a raincheck 4 nxt week?",negative
@NewMommasWorld Send my greetings to ur hubby ,positive
is sad that his girl is leaving to go back home.... ,negative
"Good morning. I am not off to Silverstone, which really sucks. I WANNA GO TO SILVERSTONE! Would've been there by now eating a bacon butty ",negative
I ordered a pair of goggles   I'm a very happy camper right now.,positive
yeh so im off to making moves  .,positive
@nessie111 well i'd like to visit london and belfast! ,positive
grounded for hitting a guy in the face. ,negative
is papering her life away. so much for a fun birthday weekend. ,negative
has to get up early tomorrow to go to DPS and get my permit!  made up with a friendd..  and is gona chill tomorrow with the hubby &lt;3,positive
"a ride home, and free tacos, whats better than that? ",positive
Think I'll go get a bath and go to bed and read Twilight  x,positive
As in &quot;Dead On&quot; ,positive
@SimoneKY_ I know ,negative
@bamp123456 ooh thanks ,positive
"@spandexx fuck you. you just killed my pokemon joke.! lol @arcadecore, ill hear yours - dianne killed mine ",negative
@larizanchetim http://twitpic.com/6aj05 - Cool!!! Love it ,positive
@PixiePoison maybe... ye never know ,positive
"has sausage toes after a night at Deville's Pad &amp; not finding a taxi wiling to stop...we were only staggering from sore feet, honestly ",positive
@ewinannie More than I can type on here! ,positive
On CoD4 (Y) Wants To Know Anyone Have Live And Wants To Give Me Thier Gamertag? ,positive
"Morning all, beautiful day , off to the gym to work off last nights pints ",positive
"@winda_dianti yes yes babyy, soon. ",positive
@marcthom thanks for asking we did good. A few interested people and one panned out so 1 greyhound adopted. ,positive
I am always so vulgar when I talk to @volatilemindz sorry friend ,negative
@silentnite22 hey girl i tried to DM you back the other day it's all the same with that.. i hardly ever go to chats &amp; cant get MSN 2 work ,negative
Law &amp; order made me cry ,negative
is anyone going to the 789 gathering?? I wanna go soo badly ,negative
I made my friend watch 2 of the first episodes of LOST against his will 2 days ago.. he is now addicted and done with season 1. ,positive
@mightysmith lol well when I talk to the mail man I'm not yelling profanities ,positive
finished geography draft.. now onto english.. i think this is the hardest i have worked all year  hahaha,negative
"OMG, this cold is so bad: who gets colds in JUNE?! It's warm?! Shouldn't have gone to school today/shouldn't go tomorrow but I HAVE TO ",negative
@rachelatherton aw that sucks  how long till you get to ride again?,negative
@zooor -.- funny. really. HAHAHAHAHAHA IT AIN'T FUNNY WAH  HAHAHA,negative
@ChuckJr thanks ,positive
About to drive up to Sydney.  We're gonna go in the power house. ,positive
@Z100Portland The Just Like Jonas link isn't working ,negative
@TrishaMurphy Sounds awsome; I love chocolate and mint ,positive
@surfclubhit Dope Beat G.  ....,positive
@hartluck http://twitpic.com/6bxki - At least you can tell it's the opera in Sidney ,positive
"@bobbyllew Nps, guess there are few new ideas, just hope they can prevent them from exploding now ",positive
@JamMusic13 no problem always glad to help ,positive
"@Luke_Stephens: I just said I was wondering about it, not that I wanted it. ",positive
went to the beach today and got my purse stolen ,negative
@Authentic973 Thats what they say ,positive
"@patricknorton No, you're not the only one. ",negative
@Witchybitch My deceased father in law was a stage actor. I was a stage actor. I'm seriously considering putting Robbie in drama class. ,positive
My poor hubbys cleanin the bathroom so we can shower 2morrow @ the new place-was pretty dirty  wish I could help but my backs bad,negative
"aaaargh, why is abc.com not working on my computer? I want to watch Lost ",negative
@areee Hola Mamita  Thanks for the #FF love. Too sweet! Wishing you a wknd as stellar as YOU are! Besos from Cali baybee xox,positive
@jaceypants I don't have 5*  I just want an excuse to buy clothes LOL,negative
"Rich will be the twittererererer after baby, I will be......in a stupified state ",positive
"there is a poor little fly in the uplighter  ... anyway, making copies was fine, as was class. I'll go to the testing center tomorrow.",negative
Tracklisting for The &quot;Elevator&quot; EP now up on our myspace www.myspace.com/zulu  ,positive
@ JSwift009 hey thanks for follow me ,positive
"@littlesara Happy one year wedding anniversary, Sara! ",positive
and AP hell begins  #fb,negative
@imansyah enak amat lunchmeeting di blowfish  jealous,negative
"@jonerp I don't think so, but using BWA does provide many benefits. needs more research ",positive
I HAVE MY FIRST FOLLOWER! ... Oh its just twttblogs nothing special  please follow me people!,negative
@alroker goodmorning al!...have a great day ,positive
@k_dell too bad I'm still here and you aren't getting any sleep until I leave. ,positive
"...which, thinking about it, is what @kenshi told me to do months ago. ",negative
i have no idea how to use this thing ,negative
@gulpanag hey! u din't respond to my la la-ing! ,negative
oops...*that I think is gay ,positive
#iremember when my bff and I used to make it a point to go to Red Cat on tuesdays cause it was the ish! I miss her mucho!! incomparable ,positive
@hybrid756 Congrats! @savagestar yeah I know how you feel ,negative
Just finished the new blog ,positive
Sitting in my office waiting for 5. Kids playing/yelling/crying in the office next door ... *looks @ clock* ... Only 8mins have passes ,negative
I definitely just bought a used copy of Guitar Hero II WITH CONTROLLER for SEVENTEEN BUCKS. Go go Microcenter! ,positive
Bros friends now over. One is totally pissed. Some nearby. I feel near barrier of no return so I'm pacing myself now ,positive
@TemujinScott aww im sorry   hopefully u will still have fun while yr here...if ur in manhattan there's a street fair on upper west side..,negative
Troy is here ,positive
arghrghrghh. iphone crashed and went into recovery mode. restore time ,negative
okay im off da phone wit the beautiful liar now.so ill finish my laundry &amp; go nite - nite.... ill holla @ u cats 2morrow.peace &amp; luv ,positive
Wonders why Audun will take off his shirt for his friends but not for me ,negative
@nicthaquik I feel u boo... I neeeeeed to get in the studio like asap... mann ,negative
"@NathanBowers Where's she gonna go after Google, right? ",positive
Not a fan of this humid heat... Jazz in June is going to be sweltering.  Ugh. ,negative
@aliciaway I'd miss Mikey too ,negative
@memorabiliashop wow - Britney Spears - still looking good ,positive
lmao @ #3wordsaftersex..... ,positive
@RevRunWisdom My friends my family and our health ,positive
@chelseaaolson boo i'm In art it's lameeee just sitting here ,negative
Thinks it's gay I can't find Brian on here ,negative
@Lorrae okie dokie.  Ambien kicking in for me too.  See ya at the big fat gay wedding ,positive
@sidlefan8 oh thats so sad...  I'm sorry.  ,negative
I am ready to see some movies ,positive
made it to australia ok. sorry i haven't called/text anyone my phone isn't working internationally for some reason. ,negative
"@JimAlger those Congressmen/women should talk to @ZnaTrainer, she'll have them ship shape in no time.  Leaving time enough for golf too ",positive
Just arrived home and kaki gw pegeeeellll  http://myloc.me/3UDh,negative
 i hate this .. Goodnight.,negative
In the dentist!!! I hate people digging in my mouth!!!  it's so uncomfortable!!!,negative
ok after watching the new moon trailer i think i'm gonna have to be team jacob for this one aha; wowwww! ,positive
@andydick So proud of you! What kind of cereal?  LOL.,positive
@whataboutkirsty May I direct you to the following site: www.vivienofholloway.com Nice dresses galore ,positive
"@xAbhishek Yeah! Should have added that line too. Presently downloading OpenSuse,Emacs. Running Twitter, chatting,surfing on 128Kbps line ",negative
Gettin my z's for the night!!! Wakin up in 4hrs... Nite ,positive
"Good Morning and Happy Monday.  I feel great this morning, unsure why.    1on1: 30-15 DONE.   http://bit.ly/3icH49",positive
@amazonsun I can't feel all the pricklies! ,negative
"@sionlee If only you were closer, I'd offer to go with you! ",positive
FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone ,positive
"Bored. I want to do something, hangout with kitty or brianna ",negative
Yo fuk twitter its not workin on my computer! ,negative
Ready to watch the game with some friends. Hope to see a good game between Wings and Pens!   ,positive
"@mindicherry If anyone ever asks my opinion on attendees, I'll keep you in mind ",positive
http://twitpic.com/5p0qd - Every moment.....frontin and maxin ,positive
@Larzzzz Awww! I'm sorry!  Are you b-day partying tomorrow?,negative
Our customers seemed satisfied with my work. That is always nice  . Now: scripting with jQuery,positive
"@_rachaelll no, I was in the garden but sadly I could hear it ",negative
"So this guy gives NICO flowers at the bar. Moments later, i turn 2 him n ask, &quot;wanna have sex&quot;? ",negative
"Happy Saturday Tweeple! Gettin' ready for a full day of dance classes, while watching Scooby Doo &amp; Legend of the Vampire. ",positive
"i waaant more @replies      ohyeah, i'll make one right now. @saraahxox",negative
Let's make that road test ,positive
Round at the in-laws. Annoyed that my cold means I can't play with Oscar. Stupid virus. ,negative
"*texts @NCIS_DiNozzo* What are you up to? I'm bored down here, doing mindless work for other teams ",negative
@_shannon1234   the day after tomorrow is on right now .. i think thats what its called.   send me a message later  have a good walk,positive
its very hotttt in nj but cant go in poool ,negative
@hollyhalvorsen Watch this video from @MusicSavesLives for details on the VIP pass! The details are towards the end! ,positive
"Eh..somebody kick me in the floor (out of the damn bed), seriously..I'll wait. Good Morning!! Have a productive day ",positive
Anyone hear about the North Shore music theater closing? Couldn't swing the costs for the summer season. So sad. ,negative
"@powderxxx at least ur in first gear, I feel like im in reverse w how yucky i feel! ",negative
newbie here at twitter. i need a bit of a help over here guys ,positive
"okey, now i have to go to the bus. and go to school. AAHNOOOO ",negative
"@mattdavey2 Morning Matt, i hope i didn't make a pest of myself last night, lol. ",positive
is with lexi and michael ,positive
@AngelaKeen Is all that foil blocking the aliens from reading your thoughts? ,positive
"@Official_Leon  I DONT KNOW HOW TO WORK THIS, JUST THOUGT ID SAY SOMETHING SO U REPLY? HAHA.. U NEVER REPLY 2ME ON BEBO ANYMORE  WATS UP?X",negative
who loves yankovic's hoobastank comment??? I DO I DO!!!!!!!  http://www.myspace.com/brianjudah,positive
The regis girl was very chatty and kept saying cool and cute kinda got on my nerves but she did a good job on my bangs ,positive
@Accessoryamy  Clean Me!,negative
"@ElleDott 1. No, I believe it, I'm just stunned is all. 2. Yup.  3. I LOVE THAT BOOK GOD I AM HAPPY.",positive
damn i can't get seafm from where i am  i need it to be on nova or 2day fm...play sway sway baby!!!,negative
@Tiffzeroseven I can't wait to watch that tonight!  ,positive
Boooo! The sun went behind the clouds  oh well.....time to hop in the shower and start my weekend!,negative
@nataliemccallum as if your there  it's crazy... you find everyone lol.,positive
im chillin at poppa docs for the weekend.... we missed the tornadoes ,positive
No jones  i'm saddened Sink Into Me;,negative
"@cloecouturier Yes, I do have a few ..   4 Girls ...   You son is 23 ... all grown up now .. happens fast!!",positive
@ROBNEHISTORIAN Rob its along funny story. I missed a step today in the parking lot at work. But I'm not laughing now. ,negative
@Heajer_aka_Jouu Yh I promess you it's a wonderfull movie to watch especially with your BBF or smth...Sue started too...GOOD LUCK ,positive
@iamdiddy CONGRATS!!!!!!!........and more importantly..........CHEERS!!!! ,positive
bored and unable to leave -_- *sigh* hope you're having fun babe ,positive
"heyy,just went shopping, so over it now and i cant even drive becuase dads banned me from my car so he drove it and i cant drive his ",negative
@rxgcrew iniwan nyo ko sa gmail hay ,positive
"says Goodbye Jay Leno, Hello Conan O'Brien in the Tonight's Show!  http://plurk.com/p/x50k1",positive
Omg ! Soooo happy ! Ya baby ! Drakeeeee nd Weezy commin.. Nd Jeezy nd Soulja Boy. But I'm most happy for D R A K E ! =D owwww ow ! Wooo ,positive
ive broken PHP  it can stay broke its sunday morning and i cant be bothered,negative
Just wants to say hi to all his stalkers. You are the best. ,positive
NO!!!! Sergei Fedorov leaves the #Caps to play in Russia ,negative
"Just got my hands on a copy of 8Days magazine. Can't wait to flip through the pages  (Wait, report first!)",positive
"@sfegette well... I may log an ER for this, if you think so! ",positive
MY BRO IS WILL B BACC HOME TODAII   I SERIOUSLY NEED SUM MAJOR ANGER MANAGEMENT...STILL NOT DOING 2 GUD...TOO MANY PROBZ,positive
"@LisaInfra yup staying with mandi for a few days on my way to Australia. I'll make Vienna my next trip, if you'll have me ",positive
Meeting done.. Solutions? Not really ,negative
"saw Thomas the tank this morning, What happened to Ringo? ",negative
"Popping out to see SAMSON AND DELILAH this arvo, hear it is good ",positive
"@MsCarlaPauline funny, i had that song in my head this morning. i def. agree with your neko case assessment.  hope you're feelin better!",positive
"I would love to.. but I have to do homeworks.. you know, Boken om mig sjÃ¤lv   fukk",negative
"@finding_Bleu http://twitpic.com/4g4a9 - WOOOOOOOOOOOT!   But uhm, why has she got her *bum crack* at the front?  LOL. *hides*",positive
@ZenCoder Where are you na in Fringe? ,positive
Having a CBA day today ,negative
Good morning to you all! ,positive
ok now im going take a shower  i need,negative
"Feeling like absolute shit, i've got some kind of virus. I'm skipping first tomorrow to sleep in, then doing two tests ",negative
Gotta love it when you get the kids into bed early! Now the evening is mine ,positive
And then an overlay of a pic of her face bleeding in the style of those Obama hope posters. ,negative
My rash is slightly better. ,positive
Is nervous he wont be able to get tickets to see Have Heart in Vienna especially as they are spliting after this tour ,negative
@LIVESTRONGCEO the Pens are behind 5-0 ,negative
http://twitpic.com/6e5na - LOL: @weltonline Post zu Twitter mit Google-Ad zum Thema Mundgeruch ,positive
